epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5030.36,0.94331,0.94747,0.99513,0.39808,0.82764,0.4213,0.302,0.99913,1.50616,1.03519,0.000990365,0.000990365,0.000990365
43,5145.05,0.94777,0.92549,1.01606,0.43311,0.84363,0.48343,0.3609,0.97706,1.32037,1.03042,0.000973861,0.000973861,0.000973861
44,5260.11,0.88987,0.91089,0.99793,0.42695,0.86139,0.46173,0.33234,1.00582,1.34438,1.06506,0.000957358,0.000957358,0.000957358
45,5375.09,0.88833,0.89529,0.99323,0.41792,0.83565,0.44169,0.31239,1.02181,1.46727,1.05091,0.000940855,0.000940855,0.000940855
46,5490.35,0.90481,0.92876,0.99646,0.41579,0.88932,0.47895,0.34486,1.00831,1.30248,1.04842,0.000924352,0.000924352,0.000924352
47,5606.51,0.9153,0.90746,1.00438,0.43663,0.88963,0.46869,0.33897,1.02131,1.32013,1.03829,0.000907848,0.000907848,0.000907848
48,5721.91,0.90935,0.89667,0.98938,0.43193,0.87995,0.4518,0.327,0.97722,1.29805,1.02285,0.000891345,0.000891345,0.000891345
49,5837.22,0.90551,0.89114,1.00686,0.42967,0.84763,0.4647,0.33419,0.98353,1.33064,1.0384,0.000874842,0.000874842,0.000874842
50,5952.73,0.88938,0.87758,0.97941,0.38491,0.71269,0.44141,0.32306,0.95559,1.95013,1.03015,0.000858338,0.000858338,0.000858338
51,6068.7,0.89106,0.88624,0.98818,0.42985,0.80252,0.47321,0.33781,0.98137,1.24093,1.02388,0.000841835,0.000841835,0.000841835
52,6185.64,0.86614,0.83876,0.9788,0.41471,0.79674,0.45254,0.31706,1.03526,1.5942,1.05558,0.000825332,0.000825332,0.000825332
53,6301.72,0.89437,0.85564,0.9925,0.40741,0.80603,0.42952,0.30219,0.9997,1.72373,1.074,0.000808828,0.000808828,0.000808828
54,6418.04,0.88182,0.85435,0.98372,0.43876,0.82837,0.45959,0.33426,0.96801,1.27485,1.02289,0.000792325,0.000792325,0.000792325
55,6534.78,0.88189,0.85318,0.99711,0.41351,0.81629,0.41569,0.30123,1.01048,1.73505,1.0606,0.000775822,0.000775822,0.000775822
56,6652.05,0.87096,0.83629,0.98286,0.46049,0.71527,0.5001,0.3571,1.05635,1.25255,1.0529,0.000759318,0.000759318,0.000759318
57,6768.52,0.86525,0.83139,0.96621,0.42235,0.77146,0.4697,0.33153,1.05477,1.71743,1.09419,0.000742815,0.000742815,0.000742815
58,6885.12,0.86389,0.81428,0.97124,0.41324,0.84363,0.46429,0.34056,0.95599,1.32087,1.01379,0.000726312,0.000726312,0.000726312
